Date,Plot,Trt,TrtName,NewTrt,GCC,Drop,Outlier_Notes,Notes
6/7/21,31,3,ambient (no del),amb,0.3507608,n,,
6/7/21,32,4,ambient (w/ del),amb,0.3474706,n,,
6/7/21,33,1,drought,dry w/ deluge,0.3551996,n,,Image slightly crooked from tilted phone
6/7/21,34,3,ambient (no del),amb,0.357953,n,,
6/7/21,35,4,ambient (w/ del),amb,0.3625413,n,,
6/7/21,37,2,wet,amb w/ deluge,0.3626309,n,,
6/7/21,38,1,drought,dry w/ deluge,0.3768463,n,,"Image very crooked like phone tilted, may be distorted"
6/7/21,39,3,ambient (no del),amb,0.3639924,n,,
6/7/21,41,1,drought,dry w/ deluge,0.379215,y,,"Image very crooked like phone tilted, LIKELY distorted"
6/7/21,42,3,ambient (no del),amb,0.3543349,n,,
6/7/21,43,3,ambient (no del),amb,0.3646446,n,,
6/7/21,44,2,wet,amb w/ deluge,0.3636929,n,,
6/7/21,45,4,ambient (w/ del),amb,0.3471926,n,,
6/7/21,47,4,ambient (w/ del),amb,0.362626,n,,
6/7/21,49,1,drought,dry w/ deluge,0.3668328,y,,"Image very crooked like phone tilted, LIKELY distorted"
6/7/21,50,4,ambient (w/ del),amb,0.3625062,n,,Image slightly crooked from tilted phone
6/14/21,2,3,ambient (no del),amb,0.3984566,n,,
6/14/21,3,1,drought,dry w/ deluge,0.4192984,y,,"Image very crooked like phone tilted, may be distorted"
6/14/21,4,2,wet,amb w/ deluge,0.386639,n,,
6/14/21,5,1,drought,dry w/ deluge,0.3687331,n,,"Image very crooked like phone tilted, may be distorted"
6/14/21,6,3,ambient (no del),amb,0.3756453,n,,
6/14/21,9,3,ambient (no del),amb,0.374394,n,,
6/14/21,10,2,wet,amb w/ deluge,0.3831418,n,,
6/14/21,11,2,wet,amb w/ deluge,0.3803397,n,,
6/14/21,12,4,ambient (w/ del),amb,0.3835091,n,,
6/14/21,13,2,wet,amb w/ deluge,0.3881525,n,,Image slightly crooked from tilted phone
6/14/21,14,1,drought,dry w/ deluge,0.3705249,n,,"Image very crooked like phone tilted, may be distorted"
6/14/21,15,1,drought,dry w/ deluge,0.3676525,n,,"Image very crooked like phone tilted, may be distorted"
6/14/21,16,2,wet,amb w/ deluge,0.3833278,n,,
6/14/21,18,3,ambient (no del),amb,0.3790898,n,,
6/14/21,19,1,drought,dry w/ deluge,0.3557617,n,,"Image very crooked like phone tilted, may be distorted"
6/14/21,20,2,wet,amb w/ deluge,0.3761289,n,,
6/14/21,21,4,ambient (w/ del),amb,0.380358,n,,
6/14/21,22,1,drought,dry w/ deluge,0.3626242,n,,"Image very crooked like phone tilted, may be distorted"
6/14/21,23,4,ambient (w/ del),amb,0.3670251,n,,
6/14/21,24,2,wet,amb w/ deluge,0.3757735,n,,
6/14/21,26,4,ambient (w/ del),amb,0.391328,n,,
6/14/21,28,3,ambient (no del),amb,0.3558817,n,,
6/14/21,29,4,ambient (w/ del),amb,0.3637944,n,,
6/14/21,30,2,wet,amb w/ deluge,0.3713801,n,,
6/14/21,31,3,ambient (no del),amb,0.3587058,n,,
6/14/21,32,4,ambient (w/ del),amb,0.3578467,n,,
6/14/21,33,1,drought,dry w/ deluge,0.3535582,y,,"Image very crooked like phone tilted, LIKELY distorted"
6/14/21,34,3,ambient (no del),amb,0.3670885,n,,
6/14/21,35,4,ambient (w/ del),amb,0.3748454,n,,
6/14/21,37,2,wet,amb w/ deluge,0.3697259,n,,
6/14/21,38,1,drought,dry w/ deluge,0.3704401,n,,"Image very crooked like phone tilted, may be distorted"
6/14/21,39,3,ambient (no del),amb,0.3707066,n,,
6/14/21,41,1,drought,dry w/ deluge,0.385462,y,,"Image very crooked like phone tilted, may be distorted"
6/14/21,42,3,ambient (no del),amb,0.3681279,n,,
6/14/21,43,3,ambient (no del),amb,0.3733959,n,,
6/14/21,44,2,wet,amb w/ deluge,0.3712415,n,,
6/14/21,45,4,ambient (w/ del),amb,0.358165,n,,
6/14/21,47,4,ambient (w/ del),amb,0.379049,n,,
6/14/21,49,1,drought,dry w/ deluge,0.3665644,n,,Image slightly crooked from tilted phone
6/14/21,50,4,ambient (w/ del),amb,0.3759378,n,,
6/21/21,2,3,ambient (no del),amb,0.378115,n,,
6/21/21,3,1,drought,dry w/ deluge,0.3767926,y,,"Image very crooked like phone tilted, LIKELY distorted"
6/21/21,4,2,wet,amb w/ deluge,0.3681114,n,,
6/21/21,5,1,drought,dry w/ deluge,0.362828,n,,"Image very crooked like phone tilted, may be distorted"
6/21/21,6,3,ambient (no del),amb,0.3638644,n,,
6/21/21,9,3,ambient (no del),amb,0.3631712,n,,
6/21/21,10,2,wet,amb w/ deluge,0.355147,n,,
6/21/21,11,2,wet,amb w/ deluge,0.3603263,n,,
6/21/21,12,4,ambient (w/ del),amb,0.3691603,n,,
6/21/21,13,2,wet,amb w/ deluge,0.362762,n,,
6/21/21,14,1,drought,dry w/ deluge,0.3591416,n,,"Image very crooked like phone tilted, may be distorted"
6/21/21,15,1,drought,dry w/ deluge,0.3520804,y,,"Image very crooked like phone tilted, AND cropped a lot of extra(?) from quadrat like good portion of bottom of image appears to be missing"
6/21/21,16,2,wet,amb w/ deluge,0.3670298,n,,
6/21/21,18,3,ambient (no del),amb,0.3604145,n,,
