doy,VWC,depth,Plot,Trt
153,34.825,15,15,dry w/ deluge
153,36.38,20,15,dry w/ deluge
153,39.475,25,15,dry w/ deluge
153,42.57,30,15,dry w/ deluge
153,43.05,35,15,dry w/ deluge
153,43.53,40,15,dry w/ deluge
153,41.82,45,15,dry w/ deluge
153,40.11,50,15,dry w/ deluge
153,36.3,55,15,dry w/ deluge
153,32.49,60,15,dry w/ deluge
153,29.735,65,15,dry w/ deluge
153,26.98,70,15,dry w/ deluge
153,27.13,75,15,dry w/ deluge
153,27.28,80,15,dry w/ deluge
153,27.59,85,15,dry w/ deluge
153,27.9,90,15,dry w/ deluge
154,32.105,10,15,dry w/ deluge
154,32.8825,15,15,dry w/ deluge
154,33.66,20,15,dry w/ deluge
154,38.2675,25,15,dry w/ deluge
154,42.875,30,15,dry w/ deluge
154,43.3225,35,15,dry w/ deluge
154,43.77,40,15,dry w/ deluge
154,42.3675,45,15,dry w/ deluge
154,40.965,50,15,dry w/ deluge
154,36.9075,55,15,dry w/ deluge
154,32.85,60,15,dry w/ deluge
154,29.03,65,15,dry w/ deluge
154,25.21,70,15,dry w/ deluge
154,26.385,75,15,dry w/ deluge
154,27.56,80,15,dry w/ deluge
154,27.8,85,15,dry w/ deluge
154,28.04,90,15,dry w/ deluge
155,30.94,10,15,dry w/ deluge
155,30.94,15,15,dry w/ deluge
155,30.94,20,15,dry w/ deluge
155,37.06,25,15,dry w/ deluge
155,43.18,30,15,dry w/ deluge
155,43.595,35,15,dry w/ deluge
155,44.01,40,15,dry w/ deluge
155,42.915,45,15,dry w/ deluge
155,41.82,50,15,dry w/ deluge
155,37.515,55,15,dry w/ deluge
155,33.21,60,15,dry w/ deluge
155,28.325,65,15,dry w/ deluge
155,23.44,70,15,dry w/ deluge
155,25.64,75,15,dry w/ deluge
155,27.84,80,15,dry w/ deluge
155,28.01,85,15,dry w/ deluge
155,28.18,90,15,dry w/ deluge
156,30.68833333,10,15,dry w/ deluge
156,30.69333333,15,15,dry w/ deluge
156,30.69833333,20,15,dry w/ deluge
156,36.84833333,25,15,dry w/ deluge
156,42.99833333,30,15,dry w/ deluge
156,43.4925,35,15,dry w/ deluge
156,43.98666667,40,15,dry w/ deluge
156,42.88083333,45,15,dry w/ deluge
156,41.775,50,15,dry w/ deluge
156,37.57416667,55,15,dry w/ deluge
156,33.37333333,60,15,dry w/ deluge
156,28.50166667,65,15,dry w/ deluge
156,23.63,70,15,dry w/ deluge
156,25.80083333,75,15,dry w/ deluge
156,27.97166667,80,15,dry w/ deluge
156,28.14166667,85,15,dry w/ deluge
